mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5036488056182862,0.05485335375833272,0.040569400787353514,0.005098656236393746,,1,100,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.6218312463268257,0.6413378739256733,0.6465771754043268,0.6033295615227035,0.6167526333969287,0.6259656981152916,0.0159718860383857,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.8501373767852783,0.11682860810518272,0.04936089515686035,0.009423363453790343,,1,200,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.6214056498317037,0.6444672873488573,0.6507535151317829,0.5940591902856054,0.6277805451778055,0.627693237555151,0.019919516390334874,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.3123895168304442,0.0937067696115243,0.058627748489379884,0.006536871787891277,,1,300,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 300}",0.6441329403786592,0.6461988304093568,0.6434863315005401,0.6053524282198075,0.6289246926840911,0.633619044638491,0.01540905518016427,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.33990116119384767,0.05402493435473201,0.030598020553588866,0.009239523565473024,,2,100,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 100}",0.5972854313791428,0.6255460588793923,0.634978354978355,0.5966592808016565,0.5877294248633761,0.6084397101803846,0.01837954952309665,7,0.9058044025088798,0.895822449573522,0.9064463078362898,0.9150008976202395,0.9110120101037552,0.9068172135285373,0.006428330969090269
0.7512980461120605,0.13287193980321765,0.05835709571838379,0.004555603021871932,,2,200,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.5880523257663987,0.6018970110877128,0.6191877842755036,0.5821364750644328,0.5874585162349791,0.5957464224858053,0.013419734467328574,12,0.906690104901939,0.9058014444060397,0.9139140726778386,0.9154700026752564,0.9120439789719085,0.9107839207265964,0.003871159008362341
0.9435660362243652,0.13974223477904038,0.07003836631774903,0.009747834620867856,,2,300,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 300}",0.5948974226752005,0.6056503416456765,0.6251700271404025,0.5850891586779557,0.5931879137214803,0.6007989727721431,0.013835019647698888,8,0.9086009970750766,0.9054765207834686,0.9105950349221307,0.9121680162612705,0.9111942810029857,0.9096069700089864,0.002371808538602388
0.33681678771972656,0.10815179320192214,0.055491304397583006,0.04726951376269131,,4,100,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 100}",0.5873668987810955,0.5710293963987026,0.5953693463652666,0.5602011323177916,0.5902569168674446,0.5808447381460602,0.01314983898581478,13,0.755096443293663,0.7391231964483908,0.7503435029476696,0.7550118255325619,0.7479696985315444,0.749508933350766,0.005872501527842827
0.5482405185699463,0.089312780658162,0.049051094055175784,0.005714858113093967,,4,200,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 200}",0.5766679111624539,0.5695408598221897,0.5987858653096335,0.5628144991613356,0.5723043403964456,0.5760226951704117,0.012238259778124143,16,0.7565746920778466,0.7416954639809289,0.7613891024274891,0.7572298142318776,0.7540062422734352,0.7541790629983154,0.006676839099092597
0.8217597484588623,0.054109278526134535,0.06649279594421387,0.005718055159980856,,4,300,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 300}",0.5802434229455021,0.5703907003664606,0.6030836616217169,0.5712472571459153,0.5658123249299719,0.5781554734019133,0.013312719989173105,15,0.7544877908420423,0.738123644169673,0.7628332202925624,0.7540721495041183,0.7520786917336828,0.7523190993084158,0.007998648516143155
0.28026466369628905,0.0682116652316491,0.04685873985290527,0.012954052401893427,10,1,100,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.5693765818391135,0.5508828201234443,0.5809099784385484,0.5382809268216269,0.5492237971340193,0.5577348208713505,0.015300065095937196,19,0.7494020930018443,0.7219932093855874,0.7429762069881178,0.7375980472599362,0.7353394247563653,0.7374617962783703,0.00912994651668183
